Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,97/127,54/72,39/49,4/6,-,-
2023,12/19,2/5,10/14,-,-,-
2022,20/27,3/3,17/24,-,-,-
2021,21/25,9/14,12/11,-,-,-
2020,5/7,5/6,-,0/1,-,-
2019,13/12,13/12,-,-,-,-
2018,11/23,11/20,-,0/3,-,-
2017,14/11,10/9,-,4/2,-,-
2016,1/2,1/2,-,-,-,-
2015,0/1,0/1,-,-,-,-
