Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,126/86,122/78,3/6,-,-,1/2
2024,31/23,31/21,0/1,-,-,0/1
2023,51/22,50/20,0/1,-,-,1/1
2022,33/23,32/21,1/2,-,-,-
2021,5/9,5/9,-,-,-,-
2020,2/2,-,2/2,-,-,-
2019,2/4,2/4,-,-,-,-
2018,2/2,2/2,-,-,-,-
2017,0/1,0/1,-,-,-,-
