Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,38/51,22/29,16/22,-,-,-
2024,9/8,6/4,3/4,-,-,-
2023,18/22,5/10,13/12,-,-,-
2022,11/19,11/14,0/5,-,-,-
2021,0/2,0/1,0/1,-,-,-
