Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
CHALLENGER MEN - SINGLES :  Iasi (Romania) - Qualification,clay,header
08.07. 13:10,Berge A.,0,2,2,,,,3,1,58%,69% (22/32),30% (7/23),33% (2/6),0% (0/20),32% (6/19),0% (0/0),53% (29/55),15% (6/39),37% (35/94),1,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],7.75
08.07. 13:10,Gima S.,2,6,6,,,,3,1,51%,100% (20/20),68% (13/19),0% (0/0),31% (10/32),70% (16/23),67% (4/6),85% (33/39),47% (26/55),63% (59/94),9,0,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '5', '2']","['2', '1', '5', '2']",[],[],[],1.07
07.07. 14:25,Berge A.,2,2,7^7,6,,,2,4,55%,67% (31/46),50% (19/38),14% (1/7),42% (29/69),53% (17/32),45% (5/11),60% (50/84),46% (46/101),52% (96/185),4,0,60% (9/15),33% (5/15),47% (14/30),"['1', '1']","['3', '1', '4', '2']","['1', '0', '5', '2']",[],[],8.05
07.07. 14:25,Popovic S.,1,6,6^0,4,,,3,3,68%,58% (40/69),47% (15/32),55% (6/11),33% (15/46),50% (19/38),86% (6/7),54% (55/101),40% (34/84),48% (89/185),6,0,67% (10/15),40% (6/15),53% (16/30),"['1', '0', '3', '2', '5', '2']","['2', '3', '3', '4']","['3', '5']",[],[],1.06
CHALLENGER MEN - SINGLES :  Brasov (Romania) - Qualification,clay,header
30.06. 18:50,Berge A.,0,1,3,,,,3,1,58%,62% (18/29),29% (6/21),20% (1/5),28% (11/40),29% (2/7),0% (0/0),48% (24/50),28% (13/47),38% (37/97),2,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],9.15
30.06. 18:50,Orlov V.,2,6,6,,,,2,0,85%,73% (29/40),71% (5/7),0% (0/0),38% (11/29),71% (15/21),80% (4/5),72% (34/47),52% (26/50),62% (60/97),8,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '3', '0', '6', '1']","['5', '3']",[],[],[],1.04
ITF MEN - SINGLES :  M15 Constanta (Romania),clay,header
ITF MEN - SINGLES :  M15 Bucharest (Romania),clay,header
CHALLENGER MEN - SINGLES :  Iasi (Romania) - Qualification,clay,header
CHALLENGER MEN - SINGLES :  Iasi (Romania) - Qualification,clay,header
08.07. 13:10,Berge A.,0,2,2,,,,3,1,58%,69% (22/32),30% (7/23),33% (2/6),0% (0/20),32% (6/19),0% (0/0),4,53% (29/55),15% (6/39),37% (35/94),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],7.75
08.07. 13:10,Gima S.,2,6,6,,,,3,1,51%,100% (20/20),68% (13/19),0% (0/0),31% (10/32),70% (16/23),67% (4/6),7,85% (33/39),47% (26/55),63% (59/94),3,100% (8/8),50% (4/8),75% (12/16),"['2', '1', '5', '2']","['2', '1', '5', '2']",[],[],[],1.07
07.07. 14:25,Berge A.,2,2,7^7,6,,,2,4,55%,67% (31/46),50% (19/38),14% (1/7),42% (29/69),53% (17/32),45% (5/11),9,60% (50/84),46% (46/101),52% (96/185),3,60% (9/15),33% (5/15),47% (14/30),"['1', '1']","['3', '1', '4', '2']","['1', '0', '5', '2']",[],[],8.05
07.07. 14:25,Popovic S.,1,6,6^0,4,,,3,3,68%,58% (40/69),47% (15/32),55% (6/11),33% (15/46),50% (19/38),86% (6/7),6,54% (55/101),40% (34/84),48% (89/185),5,67% (10/15),40% (6/15),53% (16/30),"['1', '0', '3', '2', '5', '2']","['2', '3', '3', '4']","['3', '5']",[],[],1.06
CHALLENGER MEN - SINGLES :  Brasov (Romania) - Qualification,clay,header
30.06. 18:50,Berge A.,0,1,3,,,,3,1,58%,62% (18/29),29% (6/21),20% (1/5),28% (11/40),29% (2/7),0% (0/0),4,48% (24/50),28% (13/47),38% (37/97),1,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],9.15
30.06. 18:50,Orlov V.,2,6,6,,,,2,0,85%,73% (29/40),71% (5/7),0% (0/0),38% (11/29),71% (15/21),80% (4/5),10,72% (34/47),52% (26/50),62% (60/97),4,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '3', '0', '6', '1']","['5', '3']",[],[],[],1.04
ITF MEN - SINGLES :  M15 Constanta (Romania),clay,header
ITF MEN - SINGLES :  M15 Bucharest (Romania),clay,header
