Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,507/256,80/47,265/121,89/55,56/28,17/5
2024,7/5,0/1,2/1,2/1,3/2,-
2023,5/4,-,2/2,-,2/2,1/0
2021,7/5,-,7/5,-,-,-
2020,24/9,1/1,14/5,9/3,-,-
2019,22/14,-,12/7,2/5,8/2,-
2018,32/15,4/1,14/9,3/3,9/2,2/0
2017,29/15,11/5,14/7,-,4/3,-
2016,54/18,10/4,29/8,5/4,10/2,-
2015,37/18,4/2,20/10,8/3,4/2,1/1
2014,52/23,11/5,25/8,8/7,6/3,2/0
2013,46/23,7/5,23/11,10/3,1/3,5/1
2012,45/21,7/5,20/8,10/4,5/4,3/0
2011,38/20,7/6,15/7,11/4,3/2,2/1
2010,42/27,-,35/14,5/10,1/1,1/2
2009,52/22,14/9,28/12,10/1,-,-
2008,12/11,4/2,5/6,3/3,-,-
2007,2/5,0/1,0/1,2/3,-,-
2005,1/1,-,-,1/1,-,-
