Year,Summary,Clay,Hard,Indoors,Grass,Not,set
2024,36/12,10/5,15/5,4/1,7/1,"-
2023",47/27,4/5,27/13,6/4,6/3,"4/2
2022",47/25,9/6,17/10,8/4,7/4,"6/1
2021",25/25,4/5,10/10,2/6,8/3,"1/1
2020",18/10,2/2,6/5,10/3,-,"-
2019",41/20,1/4,24/10,10/3,2/3,"4/0
2018",51/30,9/7,24/12,5/4,13/4,"0/3
2017",41/28,2/5,25/11,6/7,8/5,"-
2016",52/21,20/7,21/10,11/4,-,"-
2015",6/3,6/3,-,-,-,-
Summary:,364/201,67/49,169/86,62/36,51/23,15/7
