Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,268/195,110/64,144/114,11/11,3/6,-
2024,22/27,12/8,5/14,3/1,2/4,-
2023,41/25,18/7,22/15,0/2,1/1,-
2022,41/21,13/6,25/13,3/2,-,-
2021,30/16,6/5,24/11,-,-,-
2020,32/16,26/9,6/5,0/2,-,-
2019,18/20,7/6,11/14,-,-,-
2018,11/23,1/8,9/14,1/1,-,-
2017,26/23,10/6,12/13,4/3,0/1,-
2016,36/17,14/7,22/10,-,-,-
2015,10/5,3/2,7/3,-,-,-
2014,1/2,-,1/2,-,-,-
