Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/25,1/2,20/23,-,-,-
2024,8/12,-,8/12,-,-,-
2023,13/12,1/2,12/10,-,-,-
2019,0/1,-,0/1,-,-,-
