Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,13/13,1/2,3/2,-,-,9/9
2024,4/4,1/2,3/2,-,-,-
2023,5/3,-,-,-,-,5/3
2022,4/6,-,-,-,-,4/6
