Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,19/17,9/12,10/5,-,-,-
2024,15/8,7/4,8/4,-,-,-
2023,3/5,1/4,2/1,-,-,-
2022,1/4,1/4,-,-,-,-
