Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
13.06.,Aguilar J. C. M.,1,,,,,,"['3', '4', '5', '4']",[],[],[],[],1.91
13.06.,Sinha A.,0,,,,,,"['4', '2']",[],[],[],[],1.79
12.06.,Sinha A.,2,,,,,,"['3', '1']","['3', '2', '5', '2']",[],[],[],2.20
12.06.,Lilov V.,0,,,,,,[],[],[],[],[],1.56
10.06.,Sinha A.,2,,,,,,"['3', '3']","['2', '0', '5', '3']","['1', '0', '4', '1']",[],[],2.19
10.06.,Hernandez A.,1,,,,,,"['3', '2', '6', '5']","['3', '4']",[],[],[],1.64
04.06.,Shah A.,2,,,,,,"['3', '2']","['2', '1']","['2', '1', '4', '1']",[],[],1.43
04.06.,Sinha A.,1,,,,,,[],"['4', '4', '7', '5']",[],[],[],2.66
14.11.2024,Sinha A.,1,,,,,,"['1', '2', '3', '2']","['2', '1']",[],[],[],2.09
14.11.2024,Von der Schulenburg J.,1,,,,,,"['2', '0']","['2', '2', '5', '3']","['1', '0']",[],[],1.69
13.11.2024,Sinha A.,2,,,,,,"['4', '3']","['1', '0']",[],[],[],1.21
13.11.2024,Manning W.,0,,,,,,[],[],[],[],[],4.04
10.10.2024,Ilagan A.,2,,,,,,"['3', '2']","['1', '0', '3', '0']",[],[],[],1.30
10.10.2024,Sinha A.,0,,,,,,[],[],[],[],[],3.47
08.10.2024,Sinha A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '5', '1']",[],[],[],1.04
08.10.2024,Spiers L.,0,,,,,,[],"['1', '4']",[],[],[],8.85
08.08.2024,Kotzen A.,2,,,,,,"['2', '2', '4', '2']","['1', '0']",[],[],[],1.63
08.08.2024,Sinha A.,0,,,,,,"['1', '0']",[],[],[],[],2.18
07.08.2024,Sinha A.,2,,,,,,"['2', '1', '6', '3']","['7', '5']",[],[],[],1.45
