Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,9/8,4/6,-,5/2,-,-
2024,4/5,4/5,-,-,-,-
2023,1/2,0/1,-,1/1,-,-
2022,4/1,-,-,4/1,-,-
