Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,176/159,8/12,161/138,-,7/9,-
2024,29/20,1/1,27/17,-,1/2,-
2023,38/27,3/4,34/21,-,1/2,-
2022,8/10,-,8/10,-,-,-
2020,17/21,-,13/19,-,4/2,-
2019,19/11,2/1,17/10,-,-,-
2018,0/8,-,0/7,-,0/1,-
2017,9/16,0/2,9/14,-,-,-
2016,31/28,1/2,30/25,-,0/1,-
2015,18/9,0/1,18/8,-,-,-
2013,3/6,1/1,1/4,-,1/1,-
2012,4/3,-,4/3,-,-,-
