Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,106/65,69/41,33/19,-,-,4/5
2024,39/19,29/12,8/6,-,-,2/1
2023,44/33,28/23,16/7,-,-,0/3
2022,21/12,11/5,9/6,-,-,1/1
2021,2/1,1/1,-,-,-,1/0
