Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,561/466,248/192,205/173,86/66,6/20,16/15
2024,26/22,25/21,-,-,-,1/1
2023,21/31,14/19,5/8,0/2,-,2/2
2022,35/12,21/9,11/2,3/1,-,-
2021,19/25,12/15,3/5,4/4,0/1,-
2020,18/14,13/8,1/3,4/3,-,-
2019,50/28,35/16,11/6,2/4,0/1,2/1
2018,27/24,18/14,1/5,6/4,0/1,2/0
2017,24/31,18/14,5/13,-,1/1,0/3
2016,26/27,13/6,7/12,3/4,0/4,3/1
2015,38/28,9/10,21/13,4/1,1/4,3/0
2014,34/29,5/5,7/13,21/7,0/2,1/2
2013,31/31,5/4,18/14,7/8,1/1,0/4
2012,41/25,5/3,13/12,21/8,2/2,-
2011,24/27,3/7,19/15,2/4,0/1,-
2010,34/20,11/5,22/11,1/3,0/1,-
2009,32/22,12/9,17/9,2/3,1/1,-
2008,31/23,18/12,10/7,1/3,-,2/1
2007,26/19,5/7,18/10,3/2,-,-
2006,22/20,6/6,15/12,1/2,-,-
2005,1/5,0/2,0/1,1/2,-,-
2004,1/3,-,1/2,0/1,-,-
