Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,231/136,114/70,112/56,5/9,0/1,-
2024,7/10,7/10,-,-,-,-
2023,24/13,-,24/13,-,-,-
2022,25/16,1/3,23/12,1/1,-,-
2021,15/20,9/9,6/9,0/1,0/1,-
2020,12/14,8/7,1/2,3/5,-,-
2019,39/22,10/9,28/12,1/1,-,-
2018,39/19,18/11,21/7,0/1,-,-
2017,22/9,22/9,-,-,-,-
2016,19/2,14/2,5/0,-,-,-
2015,18/5,14/4,4/1,-,-,-
2014,7/4,7/4,-,-,-,-
2013,4/2,4/2,-,-,-,-
