Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,474/293,386/204,67/60,16/19,5/10,-
2024,31/27,23/17,6/6,1/1,1/3,-
2023,51/35,39/25,6/9,6/0,0/1,-
2022,24/31,16/14,7/12,0/2,1/3,-
2021,37/26,26/14,4/5,5/5,2/2,-
2020,41/15,35/10,6/5,-,-,-
2019,39/35,31/27,7/5,0/2,1/1,-
2018,57/35,38/22,17/8,2/5,-,-
2017,61/30,54/23,6/5,1/2,-,-
2016,74/29,73/27,0/1,1/1,-,-
2015,30/16,28/14,2/1,0/1,-,-
2014,22/9,17/7,5/2,-,-,-
2013,2/2,1/1,1/1,-,-,-
2012,5/3,5/3,-,-,-,-
