Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,72/45,72/45,-,-,-,-
2024,25/15,25/15,-,-,-,-
2023,41/22,41/22,-,-,-,-
2022,5/7,5/7,-,-,-,-
2021,1/1,1/1,-,-,-,-
