Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.06.,Forger A.,1,,,,,,"['1', '1', '4', '2', '5', '3']","['1', '0']",[],[],[],3.20
17.06.,Legout T.,0,,,,,,"['1', '0', '3', '4']",[],[],[],[],1.31
10.06.,Poullain L.,2,,,,,,1,1,65%,55% (31/56),50% (15/30),64% (7/11),43% (23/53),56% (22/39),31% (5/16),53% (46/86),49% (45/92),51% (91/178),5,0,64% (7/11),45% (5/11),55% (12/22),"['2', '3', '4', '3']","['4', '3', '5', '4', '6', '5']",[],[],[],2.23
10.06.,Legout T.,0,,,,,,1,9,58%,57% (30/53),44% (17/39),69% (11/16),45% (25/56),50% (15/30),36% (4/11),51% (47/92),47% (40/86),49% (87/178),5,2,55% (6/11),36% (4/11),45% (10/22),"['2', '0']","['4', '4', '5', '5', '6', '6']",[],[],[],1.61
09.06.,Legout T.,2,,,,,,5,5,60%,66% (48/73),44% (21/48),64% (7/11),37% (23/63),53% (23/43),40% (4/10),57% (69/121),43% (44/103),50% (113/224),7,3,73% (11/15),27% (4/15),50% (15/30),"['2', '2', '5', '3']","['2', '3']","['5', '5']",[],[],2.19
09.06.,Damas M.,1,,,,,,1,4,59%,65% (41/63),47% (20/43),60% (6/10),36% (26/73),56% (27/48),36% (4/11),57% (59/103),43% (52/121),50% (111/224),3,2,73% (11/15),27% (4/15),50% (15/30),"['1', '0']","['3', '1', '5', '3']","['4', '3']",[],[],1.63
08.06.,Legout T.,2,,,,,,3,1,72%,77% (51/66),38% (10/26),92% (11/12),37% (19/51),49% (17/35),57% (4/7),66% (61/92),42% (36/86),54% (97/178),6,0,92% (12/13),31% (4/13),62% (16/26),"['1', '0', '4', '1', '6', '1']",[],"['5', '3']",[],[],2.63
08.06.,Cachin P.,1,,,,,,3,2,59%,63% (32/51),51% (18/35),43% (3/7),23% (15/66),62% (16/26),8% (1/12),58% (50/86),34% (31/92),46% (81/178),4,0,69% (9/13),8% (1/13),38% (10/26),[],"['5', '4']",[],[],[],1.45
21.09.2024,Sanchez Martinez B.,2,,,,,,"['2', '2', '5', '3']","['1', '2', '3', '2', '5', '4']",[],[],[],3.14
21.09.2024,Legout T.,0,,,,,,"['2', '1']","['2', '0', '3', '3']",[],[],[],1.32
20.09.2024,Legout T.,2,,,,,,[],"['3', '1', '6', '4']","['4', '4', '7', '5']",[],[],1.34
20.09.2024,Jovanovic P.,1,,,,,,"['4', '2']","['3', '4']","['2', '1']",[],[],3.04
19.09.2024,Legout T.,2,,,,,,"['3', '2', '6', '3']","['4', '4', '6', '6']",[],[],[],1.26
19.09.2024,Becroft I.,0,,,,,,[],"['4', '3', '6', '5']",[],[],[],3.59
18.09.2024,Legout T.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '3', '2', '5', '2']",[],[],[],1.09
18.09.2024,Sheldon M.,0,,,,,,"['3', '5']","['2', '2']",[],[],[],6.41
28.07.2024,Rossi L.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['4', '4', '7', '5']",[],[],[],3.69
28.07.2024,Legout T.,0,,,,,,[],"['1', '0']",[],[],[],1.25
27.07.2024,Legout T.,2,,,,,,[],"['4', '2']",[],[],[],1.22
27.07.2024,Aubriot A.,0,,,,,,[],[],[],[],[],3.96
26.07.2024,Legout T.,2,,,,,,"['1', '0', '4', '3']","['1', '0', '3', '0', '5', '2']",[],[],[],1.30
26.07.2024,Ghazouani Durand Y.,0,,,,,,"['1', '1']","['1', '3']",[],[],[],3.34
25.07.2024,Legout T.,2,,,,,,"['1', '0', '5', '4']","['1', '0']","['2', '3', '4', '3']",[],[],1.09
25.07.2024,Dalmasso G.,1,,,,,,"['1', '1']","['1', '1', '3', '1', '6', '2']","['3', '1']",[],[],6.31
24.07.2024,Legout T.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.06
24.07.2024,Mercier B.,0,,,,,,[],[],[],[],[],7.90
21.07.2024,Legout T.,2,,,,,,[],[],[],[],[],1.30
21.07.2024,Dussin L.,0,,,,,,[],"['2', '6']",[],[],[],3.34
20.07.2024,Legout T.,2,,,,,,[],"['6', '2']",[],[],[],1.04
20.07.2024,Bilardo J.,0,,,,,,[],[],[],[],[],9.35
19.07.2024,Legout T.,2,,,,,,[],"['7', '5']",[],[],[],1.41
19.07.2024,Bouquet L.,0,,,,,,[],[],[],[],[],2.75
