Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,101/70,64/37,27/18,10/15,-,-
2024,16/6,8/4,8/2,-,-,-
2023,25/17,15/11,4/2,6/4,-,-
2022,32/20,19/7,12/8,1/5,-,-
2021,24/20,22/15,0/1,2/4,-,-
2020,3/5,-,3/5,-,-,-
2019,1/2,-,-,1/2,-,-
