Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,322/285,260/238,29/27,16/13,-,17/7
2024,5/12,4/9,0/1,-,-,1/2
2023,47/29,16/12,19/13,-,-,12/4
2022,23/24,16/22,3/1,-,-,4/1
2021,24/21,23/19,1/1,0/1,-,-
2020,18/11,17/10,-,1/1,-,-
2019,23/20,21/17,1/2,1/1,-,-
2018,22/24,22/24,-,-,-,-
2017,23/23,20/22,-,3/1,-,-
2016,33/28,26/25,-,7/3,-,-
2015,29/24,26/19,2/3,1/2,-,-
2014,26/22,26/20,0/1,0/1,-,-
2013,23/17,19/14,1/1,3/2,-,-
2012,19/19,17/14,2/4,0/1,-,-
2011,5/3,5/3,-,-,-,-
2010,2/5,2/5,-,-,-,-
2009,0/3,0/3,-,-,-,-
