Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
04.08.,Banerjee S.,2,,,,,,3,5,56%,76% (34/45),39% (14/36),64% (7/11),40% (18/45),59% (17/29),67% (6/9),27,35,80% (8/10),59% (48/81),47% (35/74),54% (83/155),8,0,69% (9/13),46% (6/13),58% (15/26),[],"['1', '0', '3', '2', '5', '2']","['1', '0', '3', '0', '6', '3']",[],[],1.87
04.08.,Kim A.,1,,,,,,4,1,61%,60% (27/45),41% (12/29),33% (3/9),24% (11/45),61% (22/36),36% (4/11),16,28,55% (12/22),53% (39/74),41% (33/81),46% (72/155),2,0,54% (7/13),31% (4/13),42% (11/26),"['1', '0', '6', '3']","['1', '1']","['2', '4']",[],[],1.85
02.08.,Kang K.,2,,,,,,[],"['2', '1', '4', '3']","['2', '1', '6', '3']",[],[],2.00
02.08.,Kim A.,1,,,,,,"['6', '4']","['3', '3']",[],[],[],1.72
01.08.,Kim A.,2,,,,,,"['2', '0']","['2', '3', '3', '4', '5', '4']",[],[],[],1.63
01.08.,Kotzen N. I.,0,,,,,,[],"['3', '1', '4', '2']",[],[],[],2.16
29.07.,Kim A.,2,,,,,,[],"['4', '4', '5', '5', '7', '5']","['2', '0', '5', '1', '6', '2']",[],[],1.17
29.07.,Poling K.,1,,,,,,"['6', '5']","['4', '3', '5', '4']","['2', '5']",[],[],4.48
21.07.,Johns G.,2,,,,,,6,2,64%,74% (45/61),54% (19/35),73% (8/11),32% (18/57),47% (18/38),44% (4/9),19,26,60% (6/10),67% (64/96),38% (36/95),52% (100/191),8,0,79% (11/14),27% (4/15),52% (15/29),[],"['4', '2', '6', '2']","['3', '3', '5', '5']",[],[],2.25
21.07.,Kim A.,1,,,,,,8,1,60%,68% (39/57),53% (20/38),56% (5/9),26% (16/61),46% (16/35),27% (3/11),38,62,64% (14/22),62% (59/95),33% (32/96),48% (91/191),2,0,73% (11/15),21% (3/14),48% (14/29),"['4', '2']",[],"['2', '1', '5', '4']",[],[],1.60
20.07.,Kim A.,1,,,,,,6,0,61%,75% (15/20),62% (8/13),0% (0/1),44% (12/27),67% (10/15),60% (3/5),16,19,100% (5/5),70% (23/33),52% (22/42),60% (45/75),7,0,83% (5/6),60% (3/5),73% (8/11),"['2', '0', '5', '3']","['1', '0']",[],[],[],1.38
20.07.,Imamura M.,0,,,,,,0,0,64%,56% (15/27),33% (5/15),40% (2/5),25% (5/20),38% (5/13),100% (1/1),2,16,50% (1/2),48% (20/42),30% (10/33),40% (30/75),3,0,40% (2/5),17% (1/6),27% (3/11),"['1', '2']",[],[],[],[],2.90
16.07.,Salle F.,2,,,,,,"['2', '3', '3', '4', '5', '4']",[],"['1', '0', '4', '1']",[],[],7.20
16.07.,Kim A.,1,,,,,,"['2', '0', '4', '2']","['3', '1', '6', '2']","['2', '4']",[],[],1.06
12.07.,Banerjee S.,2,,,,,,"['3', '1']","['1', '2']","['3', '1', '5', '1']",[],[],1.76
12.07.,Kim A.,1,,,,,,[],"['2', '0', '5', '3']",[],[],[],1.95
11.07.,Kim A.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0']","['3', '2']",[],[],2.66
11.07.,Svajda T.,1,,,,,,[],"['1', '1', '3', '1', '6', '2']",[],[],[],1.43
10.07.,Kim A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.14
10.07.,Krall L.,0,,,,,,[],[],[],[],[],4.95
09.07.,Kim A.,2,,,,,,"['2', '0', '4', '2', '6', '4']","['3', '1', '6', '2']",[],[],[],1.12
09.07.,Miladinovic M.,0,,,,,,"['1', '2', '4', '5']",[],[],[],[],5.25
12.06.,Kim A.,2,,,,,,"['3', '2', '5', '2']","['3', '2']",[],[],[],1.72
12.06.,Baris O.,0,,,,,,[],[],[],[],[],2.00
11.06.,Kim A.,2,,,,,,[],"['4', '3', '6', '3']","['4', '2', '6', '4']",[],[],2.35
11.06.,Zink T.,1,,,,,,"['6', '4']",[],"['3', '4']",[],[],1.54
08.01.,Kirchheimer S.,2,,,,,,"['6', '4']","['3', '3', '5', '3']",[],[],[],2.30
08.01.,Kim A.,0,,,,,,[],"['2', '1']",[],[],[],1.56
17.11.2024,Kim A.,2,,,,,,"['1', '1', '4', '2', '7', '5']","['2', '0', '4', '0']",[],[],[],1.58
17.11.2024,Thanos A.,0,,,,,,"['1', '0', '3', '4']",[],[],[],[],2.26
16.11.2024,Kim A.,2,,,,,,"['2', '0', '4', '0', '6', '0']",[],"['4', '2']",[],[],2.19
16.11.2024,Banerjee S.,1,,,,,,[],"['2', '1']",[],[],[],1.64
15.11.2024,Kim A.,2,,,,,,"['2', '0', '7', '5']","['4', '2', '6', '4']",[],[],[],1.45
15.11.2024,Jansen W.,0,,,,,,"['3', '4']","['3', '4']",[],[],[],2.59
14.11.2024,Kim A.,2,,,,,,"['3', '1', '6', '2']","['3', '1', '5', '1']",[],[],[],1.19
14.11.2024,Fernandes R.,0,,,,,,[],[],[],[],[],4.24
13.11.2024,Kim A.,2,,,,,,"['5', '3']","['3', '4', '6', '5']",[],[],[],1.08
13.11.2024,Van Emburgh J.,0,,,,,,[],"['2', '0']",[],[],[],6.88
19.10.2024,Monday J.,2,,,,,,"['1', '0']","['2', '1']",[],[],[],1.32
19.10.2024,Kim A.,0,,,,,,[],[],[],[],[],3.14
18.10.2024,Kim A.,2,,,,,,"['3', '3']","['2', '1', '3', '2', '5', '2', '6', '3']",[],[],[],1.91
18.10.2024,Kodat T.,0,,,,,,"['2', '1']","['2', '2', '3', '5']",[],[],[],1.79
17.10.2024,Kim A.,2,,,,,,"['5', '3', '6', '4']","['2', '0', '5', '1']",[],[],[],1.18
17.10.2024,Perego G.,0,,,,,,"['4', '5']","['2', '5']",[],[],[],4.33
16.10.2024,Kim A.,2,,,,,,[],"['5', '4']",[],[],[],1.24
16.10.2024,Clark E.,0,,,,,,[],[],[],[],[],3.72
11.10.2024,Zink T.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '3', '0']",[],[],[],2.03
11.10.2024,Kim A.,0,,,,,,[],[],[],[],[],1.70
10.10.2024,Kim A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.05
10.10.2024,Mayew W.,0,,,,,,[],[],[],[],[],8.20
09.10.2024,Kim A.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '1']",[],[],[],1.15
09.10.2024,Hadigian E.,0,,,,,,[],"['2', '4']",[],[],[],4.89
15.09.2024,Papoe R. M.,2,,,,,,0,1,69%,63% (41/65),59% (17/29),73% (8/11),34% (17/50),54% (21/39),57% (4/7),62% (58/94),43% (38/89),52% (96/183),6,0,79% (11/14),29% (4/14),54% (15/28),"['2', '1']","['4', '2']","['1', '0', '5', '4']",[],[],1.64
15.09.2024,Kim A.,1,,,,,,6,5,56%,66% (33/50),46% (18/39),43% (3/7),37% (24/65),41% (12/29),27% (3/11),57% (51/89),38% (36/94),48% (87/183),4,1,71% (10/14),21% (3/14),46% (13/28),"['2', '2', '4', '2']",[],"['1', '1']",[],[],2.20
16.08.2024,Zink T.,2,,,,,,[],[],"['3', '3', '5', '3']",[],[],1.81
16.08.2024,Kim A.,1,,,,,,[],"['1', '0', '3', '0', '5', '0']","['2', '1']",[],[],1.91
15.08.2024,Kim A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0']",[],[],[],1.33
15.08.2024,Colby R.,0,,,,,,[],[],[],[],[],3.12
14.08.2024,Kim A.,2,,,,,,"['2', '0', '5', '1']","['5', '4']",[],[],[],1.30
14.08.2024,Dickerson R.,0,,,,,,[],[],[],[],[],3.31
13.08.2024,Kim A.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '1', '6', '1']",[],[],[],1.11
13.08.2024,Saye D.,0,,,,,,"['2', '5']",[],[],[],[],5.88
25.07.2024,Young G.,2,,,,,,"['2', '1', '4', '3', '6', '5']","['3', '2']",[],[],[],1.67
25.07.2024,Kim A.,0,,,,,,"['2', '2', '4', '4']","['3', '3']",[],[],[],2.11
24.07.2024,Kim A.,2,,,,,,"['3', '2', '6', '5']","['4', '2', '6', '2']",[],[],[],1.65
24.07.2024,Nefve A.,0,,,,,,"['5', '5', '6', '6']",[],[],[],[],2.15
20.07.2024,McHugh A.,2,,,,,,"['1', '0', '4', '1', '5', '2']","['4', '3', '6', '3']",[],[],[],1.40
20.07.2024,Kim A.,0,,,,,,"['2', '4']",[],[],[],[],2.79
19.07.2024,Kim A.,2,,,,,,"['4', '3']","['2', '3']","['2', '1', '4', '1']",[],[],2.47
19.07.2024,Kotzen A.,1,,,,,,[],"['3', '1', '7', '5']",[],[],[],1.50
18.07.2024,Kim A.,2,,,,,,"['2', '0']",[],"['2', '2', '5', '3']",[],[],1.40
18.07.2024,Jones B.,1,,,,,,"['3', '4']","['2', '0']","['1', '0']",[],[],2.79
17.07.2024,Kim A.,2,,,,,,"['3', '1', '5', '3']","['1', '0', '3', '0', '6', '1']",[],[],[],1.27
17.07.2024,Lagaev N.,0,,,,,,"['2', '3']",[],[],[],[],3.51
19.06.2024,Kuzuhara B.,2,,,,,,"['3', '4']","['6', '6']","['1', '0', '4', '1']",[],[],1.58
19.06.2024,Kim A.,1,,,,,,"['4', '2']","['6', '5']",[],[],[],2.28
12.06.2024,Langmo C.,2,,,,,,[],"['4', '2', '6', '2']","['3', '1']",[],[],1.33
12.06.2024,Kim A.,1,,,,,,"['4', '2']",[],[],[],[],3.12
15.02.2024,Nefve A.,2,,,,,,"['1', '3']","['4', '2', '6', '2']","['2', '0', '4', '0']",[],[],1.51
15.02.2024,Kim A.,1,,,,,,"['1', '0', '3', '0']",[],[],[],[],2.45
14.02.2024,Kim A.,2,,,,,,"['4', '2', '5', '3']","['1', '0', '4', '3', '6', '3']",[],[],[],1.92
14.02.2024,Vankan M.,0,,,,,,"['3', '4']","['3', '3']",[],[],[],1.80
