Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,32/30,-,32/28,-,0/2,-
2024,17/13,-,17/11,-,0/2,-
2023,6/11,-,6/11,-,-,-
2022,9/6,-,9/6,-,-,-
