Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,746/554,279/212,232/214,159/87,68/36,8/5
2024,28/32,7/12,14/15,1/1,5/4,1/0
2023,48/32,16/9,24/17,-,7/5,1/1
2022,50/30,17/7,10/12,13/6,10/5,-
2021,12/16,3/5,8/9,1/2,-,-
2020,6/8,-,5/8,-,-,1/0
2019,35/36,4/10,20/17,5/5,6/3,0/1
2018,30/29,4/5,11/15,8/7,6/2,1/0
2017,45/31,17/10,8/14,13/4,7/3,-
2016,30/31,11/10,14/18,2/2,3/1,-
2015,44/29,12/11,12/11,14/3,6/4,-
2014,47/19,13/9,24/8,5/2,5/0,-
2013,14/19,9/11,4/6,1/1,0/1,-
2012,52/29,23/12,8/5,16/10,5/2,-
2011,30/30,18/13,3/9,9/7,0/1,-
2010,34/31,15/13,6/10,12/5,1/2,0/1
2009,47/23,23/9,11/8,9/4,4/1,0/1
2008,20/17,0/4,4/6,16/6,-,0/1
2007,45/31,21/16,5/7,13/6,3/2,3/0
2006,62/30,29/16,14/6,18/8,-,1/0
2005,22/17,15/9,5/2,2/6,-,-
2004,29/17,14/9,14/7,1/1,-,-
2003,15/13,7/8,8/4,0/1,-,-
2002,1/4,1/4,-,-,-,-
