Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,206/150,126/92,40/28,40/29,0/1,-
2024,22/14,3/5,14/7,5/2,-,-
2023,35/23,29/18,6/2,0/3,-,-
2022,16/14,14/10,0/4,2/0,-,-
2021,8/23,4/14,0/3,4/6,-,-
2020,22/15,10/4,0/1,12/10,-,-
2019,33/25,19/14,7/5,7/6,-,-
2018,48/17,33/14,5/2,10/1,-,-
2017,20/12,12/7,8/4,-,0/1,-
2016,1/2,1/2,-,-,-,-
2015,0/2,0/1,-,0/1,-,-
2014,1/3,1/3,-,-,-,-
