Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,507/334,160/121,296/174,33/27,-,18/12
2024,21/17,18/15,2/0,1/2,-,-
2023,48/26,10/11,15/9,5/2,-,18/4
2022,24/16,8/6,14/8,2/2,-,-
2021,9/14,9/13,-,0/1,-,-
2020,14/15,1/1,13/12,-,-,0/2
2019,31/21,9/7,22/14,-,-,-
2018,27/24,7/4,16/11,4/6,-,0/3
2017,52/28,33/15,9/8,10/5,-,-
2016,53/26,4/4,47/19,2/3,-,-
2015,26/19,3/3,23/15,0/1,-,-
2014,28/17,-,24/15,4/2,-,-
2013,27/18,7/5,17/12,3/1,-,-
2012,21/15,2/1,19/13,0/1,-,-
2011,30/19,12/7,16/11,2/1,-,-
2010,31/11,11/7,20/4,-,-,-
2009,8/10,7/6,1/3,-,-,0/1
2008,12/14,0/4,12/8,-,-,0/2
2007,30/15,16/9,14/6,-,-,-
2006,14/6,3/3,11/3,-,-,-
2005,0/1,-,0/1,-,-,-
2004,1/1,-,1/1,-,-,-
2003,0/1,-,0/1,-,-,-
