Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,683/406,593/335,89/64,1/5,0/2,-
2024,33/29,28/20,5/7,0/1,0/1,-
2023,56/39,48/35,8/4,-,-,-
2022,54/28,54/27,-,0/1,-,-
2021,35/28,35/27,0/1,-,-,-
2020,17/11,17/10,0/1,-,-,-
2019,49/30,46/27,3/3,-,-,-
2018,71/22,63/19,7/3,1/0,-,-
2017,50/19,46/18,4/1,-,-,-
2016,49/38,42/29,7/6,0/2,0/1,-
2015,59/27,47/19,12/7,0/1,-,-
2014,72/27,57/22,15/5,-,-,-
2013,53/33,34/21,19/12,-,-,-
2012,35/34,26/22,9/12,-,-,-
2011,29/17,29/16,0/1,-,-,-
2010,14/13,14/12,0/1,-,-,-
2009,5/9,5/9,-,-,-,-
2008,2/2,2/2,-,-,-,-
