Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,269/171,182/99,62/53,22/13,3/6,-
2024,4/5,4/3,0/2,-,-,-
2023,29/29,20/16,4/10,3/1,2/2,-
2022,36/23,24/14,4/4,8/4,0/1,-
2021,18/19,10/10,5/7,3/1,0/1,-
2020,18/14,5/6,13/8,-,-,-
2019,28/24,20/12,4/5,3/5,1/2,-
2018,41/16,34/11,7/5,-,-,-
2017,22/10,5/2,15/7,2/1,-,-
2016,0/1,-,0/1,-,-,-
2015,24/9,21/8,-,3/1,-,-
2014,20/11,15/10,5/1,-,-,-
2013,24/7,23/6,1/1,-,-,-
2012,5/3,1/1,4/2,-,-,-
