Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
08.08.,Sekulic P.,2,,,,,,"['2', '2']",[],"['2', '0', '5', '1']",[],[],1.63
08.08.,Borg L.,1,,,,,,"['1', '0', '4', '3', '6', '3']",[],[],[],[],20.5
07.08.,Borg L.,2,,,,,,"['3', '1']","['2', '1']",[],[],[],-
07.08.,Singh K.,0,,,,,,[],"['5', '5']",[],[],[],-
05.08.,Borg L.,2,,,,,,"['4', '2', '6', '2']","['2', '2', '4', '2', '6', '2']",[],[],[],1.03
05.08.,Kesharwani M.,0,,,,,,[],"['1', '0']",[],[],[],8.80
18.07.,Poullain L.,2,,,,,,[],"['1', '0', '3', '0', '4', '3', '6', '3']","['3', '1']",[],[],1.72
18.07.,Borg L.,1,,,,,,"['2', '1', '6', '3']","['1', '3', '3', '3']",[],[],[],2.00
17.07.,Borg L.,2,,,,,,"['1', '0', '2', '1', '4', '1', '6', '1']","['4', '4', '5', '5']",[],[],[],1.06
17.07.,Malirz K.,0,,,,,,"['1', '1']","['1', '0', '5', '4']",[],[],[],7.30
15.07.,Borg L.,2,,,,,,"['2', '0', '5', '1']","['6', '5']",[],[],[],1.25
15.07.,Jadoun N.,0,,,,,,[],[],[],[],[],3.62
02.07.,Car H.,1,,,,,,"['3', '4', '5', '4']","['2', '1']",[],[],[],4.75
02.07.,Borg L.,0,,,,,,"['3', '1']",[],[],[],[],1.15
27.06.,Added D.,2,,,,,,"['2', '0', '5', '5']","['5', '4']","['1', '0', '3', '0', '5', '0']",[],[],1.51
27.06.,Borg L.,1,,,,,,"['2', '3', '4', '3']",[],[],[],[],2.42
26.06.,Borg L.,2,,,,,,"['1', '0', '4', '1']","['1', '0', '3', '0']",[],[],[],1.37
26.06.,Car H.,0,,,,,,[],[],[],[],[],2.88
25.06.,Borg L.,2,,,,,,"['2', '0', '6', '2']","['2', '0', '4', '0', '6', '0']",[],[],[],1.02
25.06.,Portugal J.,0,,,,,,[],[],[],[],[],10.20
13.06.,Ymer M.,2,,,,,,"['1', '1', '3', '3', '5', '3', '7', '5']","['3', '1']","['4', '2', '5', '5']",[],[],1.20
13.06.,Borg L.,1,,,,,,"['1', '0', '2', '1', '4', '5']","['2', '3', '5', '4']","['3', '4', '5', '4']",[],[],4.14
12.06.,Borg L.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '3', '0']",[],[],[],1.06
12.06.,Jansson O.,0,,,,,,[],[],[],[],[],7.20
11.06.,Borg L.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['1', '1', '4', '2']",[],[],[],-
11.06.,Jorgensen S. G.,0,,,,,,[],"['1', '0']",[],[],[],-
