Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W50 Arequipa (Peru),clay,header
03.07. 18:35,Rakotomanga Rajaonah T.,0,0,6^2,,,,[],"['1', '1', '2', '2', '4', '4', '5', '5']",[],[],[],2.45
03.07. 18:35,Serban R.,2,6,7^7,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '2', '1', '3', '2', '5', '4']",[],[],[],1.51
ITF WOMEN - SINGLES :  W35 Perigueux (France),clay,header
ITF WOMEN - SINGLES :  W100 Biarritz (France),clay,header
12.06. 15:40,Rakotomanga Rajaonah T.,0,2,2,,,,"['2', '1']","['1', '4']",[],[],[],3.34
12.06. 15:40,Jimenez Kasintseva V.,2,6,6,,,,"['2', '2', '4', '2', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],[],1.30
ITF WOMEN - SINGLES :  W35 Kursumlijska Banja 2 (Serbia),clay,header
WTA - SINGLES :  French Open (France) - Qualification,clay,header
21.05. 17:35,Rakotomanga Rajaonah T.,0,4,5,,,,0,4,65%,47% (22/47),40% (10/25),50% (7/14),48% (19/40),42% (10/24),71% (5/7),9,37,67% (4/6),7,44% (32/72),45% (29/64),45% (61/136),3,36% (4/11),45% (5/11),41% (9/22),"['1', '4', '3', '4', '4', '5']","['2', '3', '4', '5']",[],[],[],5.52
21.05. 17:35,Lys E.,2,6,7,,,,1,3,63%,53% (21/40),58% (14/24),29% (2/7),53% (25/47),60% (15/25),50% (7/14),18,37,38% (3/8),7,55% (35/64),56% (40/72),55% (75/136),4,55% (6/11),64% (7/11),59% (13/22),"['2', '0', '4', '0', '5', '3', '6', '4']","['2', '0', '4', '2', '7', '5']",[],[],[],1.15
ITF WOMEN - SINGLES :  W35 Anapoima (Colombia),clay,header
ITF WOMEN - SINGLES :  W35 Mosquera (Colombia),clay,header
ITF WOMEN - SINGLES :  W35 Bujumbura 2 (Burundi),clay,header
