Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
19.03.,Jasika O.,2,,,,,,"['2', '0']","['1', '0', '5', '2']",[],[],[],1.05
19.03.,Court J.,0,,,,,,"['3', '4']",[],[],[],[],7.80
12.03.,Sik M. E.,2,,,,,,"['2', '0', '6', '2']",[],[],[],[],2.59
12.03.,Court J.,0,,,,,,[],[],[],[],[],1.45
18.02.,Klintcharov A.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['1', '1', '3', '5', '5', '5', '7', '5']",[],[],[],1.35
18.02.,Court J.,0,,,,,,[],"['1', '0', '2', '1', '4', '1']",[],[],[],2.99
17.12.2024,Klintcharov A.,2,,,,,,"['6', '4']","['2', '0', '4', '0', '6', '0']",[],[],[],1.54
17.12.2024,Court J.,0,,,,,,[],[],[],[],[],2.35
09.12.2024,Hoole C.,2,,,,,,"['2', '0', '5', '5']","['3', '1', '6', '4']","['3', '3', '5', '3']",[],[],1.56
09.12.2024,Court J.,1,,,,,,"['1', '2', '3', '2', '6', '5']","['4', '5']","['1', '0']",[],[],2.30
28.11.2024,Jones H.,2,,,,,,"['2', '0', '7', '5']",[],"['3', '2']",[],[],1.51
28.11.2024,Court J.,1,,,,,,"['3', '4']",[],[],[],[],2.42
27.11.2024,Court J.,1,,,,,,"['4', '3']",[],[],[],[],3.91
27.11.2024,Rai A.,0,,,,,,[],[],[],[],[],1.22
21.11.2024,Mochizuki Y.,2,,,,,,"['1', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.18
21.11.2024,Court J.,0,,,,,,"['4', '4']",[],[],[],[],4.38
13.11.2024,Charlton J.,2,,,,,,[],"['6', '4']","['5', '3']",[],[],1.49
13.11.2024,Court J.,1,,,,,,"['5', '4']",[],[],[],[],2.47
20.10.2024,Tkemaladze Z.,2,,,,,,3,1,79%,81% (30/37),70% (7/10),100% (1/1),28% (11/40),61% (22/36),38% (3/8),79% (37/47),43% (33/76),57% (70/123),6,0,100% (9/9),30% (3/10),63% (12/19),"['3', '2']","['2', '1', '6', '3']",[],[],[],1.33
20.10.2024,Court J.,0,,,,,,11,11,53%,73% (29/40),39% (14/36),63% (5/8),19% (7/37),30% (3/10),0% (0/1),57% (43/76),21% (10/47),43% (53/123),4,2,70% (7/10),0% (0/9),37% (7/19),[],[],[],[],[],2.95
08.10.2024,Bradshaw J.,2,,,,,,"['2', '0', '5', '1']",[],"['4', '2']",[],[],1.26
08.10.2024,Court J.,1,,,,,,[],"['4', '2']",[],[],[],3.54
03.10.2024,Moriya H.,2,,,,,,"['1', '0', '5', '2']","['2', '0', '5', '1']",[],[],[],1.14
03.10.2024,Court J.,0,,,,,,"['3', '5', '5', '5']",[],[],[],[],5.00
02.10.2024,Court J.,2,,,,,,"['3', '2']",[],"['5', '4']",[],[],3.04
02.10.2024,Jones H.,1,,,,,,[],"['4', '2', '6', '2']",[],[],[],1.34
19.09.2024,Bradshaw J.,2,,,,,,"['2', '1']","['3', '2', '6', '3']",[],[],[],1.22
19.09.2024,Court J.,0,,,,,,[],[],[],[],[],3.96
18.09.2024,Court J.,2,,,,,,"['2', '1', '6', '5']",[],[],[],[],1.35
18.09.2024,Storch S.,0,,,,,,"['3', '3']",[],[],[],[],3.02
11.09.2024,Klintcharov A.,2,,,,,,"['1', '1', '4', '4', '6', '4']","['5', '5']",[],[],[],1.81
11.09.2024,Court J.,0,,,,,,"['1', '0', '4', '3']","['5', '4']",[],[],[],1.91
05.09.2024,Dzhavakian Y.,2,,,,,,"['4', '2']","['1', '0', '4', '1']",[],[],[],-
05.09.2024,Court J.,0,,,,,,[],[],[],[],[],-
04.09.2024,Court J.,2,,,,,,[],"['4', '2', '6', '2']","['2', '0', '6', '4']",[],[],1.30
