Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,89/135,6/9,81/116,-,2/10,-
2024,3/14,-,3/12,-,0/2,-
2023,30/26,1/3,27/21,-,2/2,-
2022,4/15,0/2,4/13,-,-,-
2021,7/12,-,7/12,-,-,-
2020,8/25,-,8/23,-,0/2,-
2019,15/20,2/2,13/16,-,0/2,-
2018,15/17,3/2,12/13,-,0/2,-
2017,5/3,-,5/3,-,-,-
2016,2/3,-,2/3,-,-,-
