Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,214/130,190/104,24/23,-,0/3,-
2024,20/18,17/10,3/7,-,0/1,-
2023,55/25,51/20,4/4,-,0/1,-
2022,31/21,31/19,0/1,-,0/1,-
2021,43/30,36/26,7/4,-,-,-
2020,22/12,12/5,10/7,-,-,-
2019,31/19,31/19,-,-,-,-
2018,4/2,4/2,-,-,-,-
2017,8/3,8/3,-,-,-,-
