Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,408/274,30/24,340/213,27/33,11/4,-
2023,23/14,-,22/13,1/1,-,-
2022,28/14,-,28/14,-,-,-
2021,1/9,-,1/6,0/3,-,-
2020,9/7,1/1,8/5,0/1,-,-
2019,51/21,-,44/17,1/2,6/2,-
2018,17/19,3/7,11/9,3/3,-,-
2017,33/26,1/1,30/22,2/3,-,-
2016,54/31,3/1,45/26,6/4,-,-
2015,35/21,-,34/18,1/3,-,-
2014,26/21,-,24/18,2/3,-,-
2013,51/26,10/0,39/22,2/4,-,-
2012,36/24,0/1,28/21,5/1,3/1,-
2011,20/23,10/11,5/8,3/3,2/1,-
2010,23/15,2/2,20/11,1/2,-,-
2009,0/1,-,0/1,-,-,-
2008,0/1,-,0/1,-,-,-
2007,1/1,-,1/1,-,-,-
