Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,56/58,51/52,5/5,0/1,-,-
2024,11/10,9/9,2/1,-,-,-
2023,5/4,4/3,1/1,-,-,-
2022,6/7,4/6,2/1,-,-,-
2021,3/4,3/4,-,-,-,-
2020,0/2,0/2,-,-,-,-
2019,7/7,7/6,0/1,-,-,-
2018,13/17,13/15,0/1,0/1,-,-
2017,9/4,9/4,-,-,-,-
2016,2/3,2/3,-,-,-,-
