Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,3/19,-,3/19,-,-,-
2022,0/1,-,0/1,-,-,-
2014,0/4,-,0/4,-,-,-
2013,1/6,-,1/6,-,-,-
2012,0/6,-,0/6,-,-,-
2011,2/2,-,2/2,-,-,-
