Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
WTA - SINGLES :  Seoul (South Korea) - Qualification,hard,header
15.09. 08:00,Lee E.,0,1,4,,,,1,5,65%,43% (20/46),40% (10/25),50% (7/14),29% (10/34),66% (23/35),25% (3/12),5,41% (29/70),49% (35/71),45% (64/141),2,22% (2/9),38% (3/8),29% (5/17),"['1', '5']","['1', '0', '3', '4']",[],[],[],3.80
15.09. 08:00,Hon P.,2,6,6,,,,6,6,49%,71% (24/34),34% (12/35),75% (9/12),57% (26/46),60% (15/25),50% (7/14),9,51% (36/71),59% (41/70),55% (77/141),5,63% (5/8),78% (7/9),71% (12/17),"['1', '0', '3', '0', '5', '0', '6', '1']","['1', '1', '4', '2', '6', '4']",[],[],[],1.27
14.09. 07:45,Hibino N.,1,6,3,2,,,0,8,55%,55% (23/42),40% (14/35),58% (7/12),32% (10/31),58% (25/43),71% (5/7),7,48% (37/77),47% (35/74),48% (72/151),3,55% (6/11),42% (5/12),48% (11/23),"['3', '2', '6', '3']","['2', '2', '3', '3']","['1', '0']",[],[],1.27
14.09. 07:45,Lee E.,1,3,6,3,,,2,10,42%,68% (21/31),42% (18/43),29% (2/7),45% (19/42),60% (21/35),42% (5/12),10,53% (39/74),52% (40/77),52% (79/151),3,58% (7/12),45% (5/11),52% (12/23),[],"['1', '0', '3', '2', '4', '3', '6', '3']","['2', '2']",[],[],3.80
WTA - SINGLES :  Seoul (South Korea) - Qualification,hard,header
17.09.2022,Lee E.,0,1,1,,,,0,7,55%,59% (16/27),23% (5/22),17% (1/6),26% (5/19),21% (4/19),0% (0/0),3,43% (21/49),24% (9/38),34% (30/87),1,29% (2/7),0% (0/7),14% (2/14),[],[],[],[],[],8.70
17.09.2022,Jimenez Kasintseva V.,2,6,6,,,,2,2,50%,74% (14/19),79% (15/19),0% (0/0),41% (11/27),77% (17/22),83% (5/6),7,76% (29/38),57% (28/49),66% (57/87),5,100% (7/7),71% (5/7),86% (12/14),"['1', '0', '4', '1', '6', '1']","['3', '1', '5', '1']",[],[],[],1.06
CHALLENGER WOMEN - SINGLES :  Seoul (South Korea),hard,header
