Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
04.07.,Matsuoka H.,0,,,,,,[],"['3', '3', '5', '3']",[],[],[],2.69
03.07.,Matsuoka H.,2,,,,,,"['4', '4', '6', '4']","['2', '2', '5', '5']",[],[],[],2.14
03.07.,Wallin O.,0,,,,,,"['1', '0']","['2', '1', '4', '3']",[],[],[],1.64
01.07.,Matsuoka H.,2,,,,,,"['2', '3', '5', '4']","['1', '0', '3', '2']","['2', '0', '4', '0', '6', '0']",[],[],1.36
01.07.,Izquierdo Luque R.,1,,,,,,"['2', '0', '5', '5', '7', '5']","['1', '1', '3', '3']",[],[],[],2.94
26.06.,Barroso Campos A.,2,,,,,,"['3', '1', '6', '4']","['3', '3']","['2', '0', '6', '4']",[],[],1.78
26.06.,Matsuoka H.,1,,,,,,"['2', '3']","['3', '2', '5', '4']","['2', '3']",[],[],1.92
24.06.,Matsuoka H.,2,,,,,,"['2', '0', '4', '0']",[],"['2', '0', '5', '1']",[],[],1.68
24.06.,Robertson C.,1,,,,,,[],"['2', '0', '4', '0']",[],[],[],2.06
11.06.,Mazdrashki A.,2,,,,,,"['5', '4']","['3', '4']","['2', '0', '4', '0']",[],[],2.30
11.06.,Matsuoka H.,1,,,,,,[],"['4', '2', '5', '3']",[],[],[],1.56
29.05.,Ayeni A.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '2', '5', '2']",[],[],[],2.62
29.05.,Matsuoka H.,0,,,,,,[],"['2', '2']",[],[],[],1.44
28.05.,Matsuoka H.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],2.56
28.05.,Pennaforti G.,0,,,,,,[],[],[],[],[],1.46
22.05.,Pereira T.,2,,,,,,"['4', '3', '6', '5']","['1', '0']",[],[],[],1.50
22.05.,Matsuoka H.,0,,,,,,"['4', '4']",[],[],[],[],2.44
20.05.,Matsuoka H.,2,,,,,,"['3', '1', '4', '4', '6', '4']","['3', '3', '6', '4']",[],[],[],1.09
20.05.,Calvano G.,0,,,,,,"['2', '3', '4', '3']","['3', '2']",[],[],[],6.15
15.05.,Gulin S.,2,,,,,,"['3', '1']","['1', '0']",[],[],[],1.17
15.05.,Matsuoka H.,0,,,,,,[],[],[],[],[],4.57
14.05.,Matsuoka H.,2,,,,,,"['1', '2']","['1', '0']","['3', '4', '6', '5']",[],[],1.66
14.05.,Gutierrez O. J.,1,,,,,,"['2', '0', '4', '2', '6', '2']",[],"['4', '2']",[],[],2.11
30.04.,Martinez Gomez P.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0']",[],[],[],3.32
30.04.,Matsuoka H.,0,,,,,,[],"['1', '3']",[],[],[],1.29
24.04.,Feldbausch K.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '6', '4']",[],[],[],1.23
24.04.,Matsuoka H.,0,,,,,,[],"['2', '3']",[],[],[],3.81
22.04.,Matsuoka H.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['2', '0', '4', '0', '6', '0']",[],[],[],1.95
22.04.,Demanet E.,0,,,,,,[],[],[],[],[],1.76
07.04.,Houkes M.,2,,,,,,"['1', '0', '3', '0', '4', '1']","['1', '0', '2', '1', '5', '2']",[],[],[],1.14
07.04.,Matsuoka H.,0,,,,,,"['1', '3', '3', '5']","['1', '1']",[],[],[],4.95
01.04.,Tabur C.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '4', '0', '6', '0']",[],[],[],1.23
01.04.,Matsuoka H.,0,,,,,,[],[],[],[],[],3.81
