Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF WOMEN - SINGLES :  W35 Collonge-Bellerive (Switzerland),clay,header
22.05. 14:30,Kuhl C.,0,3,4,,,,"['2', '1']","['2', '2', '4', '2']",[],[],[],1.62
ITF WOMEN - SINGLES :  W35 Villach (Austria),clay,header
ITF WOMEN - SINGLES :  W75+H Saint-Gaudens (France),clay,header
09.05. 14:40,Smith T. N.,1,7^7,5,4,,,"['3', '4']","['4', '2']","['1', '3']",[],[],1.61
09.05. 14:40,Dartron E.,2,6^3,7,6,,,"['2', '0']","['4', '5', '6', '5']","['1', '0', '3', '0']",[],[],2.22
08.05. 13:55,Smith T. N.,2,4,7,6,,,"['2', '0']","['2', '2', '5', '3', '7', '5']","['2', '0', '4', '0', '6', '0']",[],[],3.43
08.05. 13:55,Tikhonova A.,1,6,5,0,,,"['1', '2', '4', '3']","['1', '0', '4', '5']",[],[],[],1.28
ITF WOMEN - SINGLES :  W75 Chiasso (Switzerland),clay,header
16.04. 18:10,Smith T. N.,1,7,4,0,,,"['2', '2', '3', '3', '7', '5']",[],[],[],[],1.92
16.04. 18:10,Pigato L.,2,5,6,6,,,"['1', '0', '3', '2']","['4', '3']","['1', '0', '3', '0', '5', '0']",[],[],1.80
ITF WOMEN - SINGLES :  W35 Swan Hill (Australia),grass,header
ITF WOMEN - SINGLES :  W35 Mildura (Australia),grass,header
ITF WOMEN - SINGLES :  W35 Traralgon 2 (Australia),hard,header
ITF WOMEN - SINGLES :  W35 Traralgon (Australia),hard,header
ITF WOMEN - SINGLES :  W75 Burnie 2 (Australia),hard,header
06.02. 04:40,Smith T. N.,0,3,6^6,,,,"['2', '0']","['1', '0', '4', '1', '6', '5']",[],[],[],2.11
06.02. 04:40,Jones E.,2,6,7^8,,,,"['1', '2', '3', '2', '6', '3']","['2', '4', '5', '5', '6', '6']",[],[],[],1.67
