Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,39/35,20/15,11/7,1/3,-,7/10
2024,13/7,11/5,-,-,-,2/2
2023,10/10,2/7,8/2,-,-,0/1
2022,15/16,7/3,3/5,0/2,-,5/6
2021,1/2,-,-,1/1,-,0/1
