https://www.tennisexplorer.com/res/img/player/0zUctUdA-x0Bea9H4.jpeg
Dominko Sebastian
Country: Slovenia
Age: 21 (13. 5. 2003)
Current/Highest rank - singles: 1037. / 892.
Current/Highest rank - doubles: 848. / 774.
Sex: man
Plays: left
