Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
06.08.,Bondaz M.,2,,,,,,"['3', '2', '5', '2']","['2', '1', '3', '4', '5', '4']",[],[],[],2.58
06.08.,Delgado A.,0,,,,,,[],"['2', '2', '4', '2']",[],[],[],1.45
20.07.,Delgado A.,2,,,,,,[],[],[],[],[],2.47
20.07.,Bernard A.,1,,,,,,[],[],[],[],[],1.49
19.07.,Delgado A.,2,,,,,,[],[],[],[],[],2.24
19.07.,Dickerson R.,1,,,,,,[],[],[],[],[],1.59
18.07.,Delgado A.,2,,,,,,[],[],[],[],[],1.78
18.07.,Krall L.,0,,,,,,[],[],[],[],[],1.92
17.07.,Delgado A.,2,,,,,,[],[],[],[],[],2.01
17.07.,Salvestre D.,0,,,,,,[],[],[],[],[],1.71
16.07.,Delgado A.,2,,,,,,[],[],[],[],[],-
16.07.,Mitric A.,0,,,,,,[],[],[],[],[],-
09.07.,Rodriguez J. A.,2,,,,,,"['2', '0', '4', '0', '5', '3']","['1', '0', '6', '3']",[],[],[],1.25
09.07.,Delgado A.,0,,,,,,"['1', '4', '3', '4']",[],[],[],[],3.62
08.07.,Delgado A.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '5', '2']",[],[],[],1.03
08.07.,Marini F.,0,,,,,,[],[],[],[],[],9.30
11.06.,Alvarez Valdes L. C.,2,,,,,,"['4', '5']","['4', '2', '5', '3']",[],[],[],1.30
11.06.,Delgado A.,0,,,,,,"['2', '0']","['3', '4']",[],[],[],3.30
06.06.,Rubio Fierros A. F.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['3', '3']",[],[],[],1.41
06.06.,Delgado A.,0,,,,,,[],"['3', '2']",[],[],[],2.73
04.06.,Delgado A.,2,,,,,,"['3', '1']","['2', '1']",[],[],[],1.08
04.06.,Munoz E.,0,,,,,,[],[],[],[],[],6.25
01.09.2023,Park S.,2,,,,,,[],"['2', '0', '4', '0', '6', '0']","['2', '0', '3', '0', '5', '2', '7', '4', '8', '6']",[],[],-
01.09.2023,Delgado A.,1,,,,,,"['1', '0', '3', '0', '5', '0']",[],"['1', '3', '3', '6', '5', '7', '6', '7']",[],[],-
31.08.2023,Delgado A.,2,,,,,,[],"['4', '2']","['2', '6', '3', '6', '6', '6', '9', '7', '10', '7']",[],[],-
31.08.2023,Fahim I. M.,1,,,,,,"['3', '1']","['3', '4']","['2', '0', '5', '1', '6', '1']",[],[],-
