Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/13,-,6/5,-,-,8/8
2024,11/6,-,6/5,-,-,5/1
2023,2/2,-,-,-,-,2/2
2022,1/5,-,-,-,-,1/5
