Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,101/72,7/10,49/37,10/9,-,35/16
2024,17/9,2/2,6/6,-,-,9/1
2023,28/18,1/3,2/3,9/5,-,16/7
2022,28/20,-,18/11,0/1,-,10/8
2021,15/16,-,14/13,1/3,-,-
2020,12/7,3/3,9/4,-,-,-
2015,1/1,1/1,-,-,-,-
2014,0/1,0/1,-,-,-,-
