Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,14/13,0/1,14/11,0/1,-,-
2024,10/8,0/1,10/6,0/1,-,-
2021,3/3,-,3/3,-,-,-
2016,1/2,-,1/2,-,-,-
