Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,43/24,35/17,-,-,-,8/7
2024,23/11,23/11,-,-,-,-
2023,15/11,11/5,-,-,-,4/6
2022,5/2,1/1,-,-,-,4/1
