Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,135/97,15/16,105/70,10/6,5/5,-
2024,43/16,5/3,36/11,-,2/2,-
2023,16/15,4/3,12/12,-,-,-
2022,16/15,1/3,11/7,4/5,-,-
2021,5/7,-,5/7,-,-,-
2020,4/6,4/5,0/1,-,-,-
2019,13/9,1/2,12/7,-,-,-
2018,16/10,-,10/9,6/1,-,-
2017,12/6,-,12/6,-,-,-
2016,5/4,-,5/4,-,-,-
2015,5/8,-,2/5,-,3/3,-
2014,0/1,-,0/1,-,-,-
