Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,457/251,119/76,269/128,35/25,29/21,5/1
2024,36/12,4/2,24/7,-,6/3,2/0
2023,59/18,8/4,43/12,-,6/2,2/0
2022,42/21,11/4,28/12,0/3,2/1,1/1
2021,39/19,6/4,29/12,-,4/3,-
2020,31/12,2/2,28/9,1/1,-,-
2019,25/19,4/5,14/10,4/1,3/3,-
2018,50/22,22/10,21/9,7/2,0/1,-
2017,12/9,0/2,12/6,0/1,-,-
2016,21/24,8/10,10/10,2/2,1/2,-
2015,36/25,11/8,14/10,5/4,6/3,-
2014,1/1,1/1,-,-,-,-
2013,25/18,12/8,7/6,6/3,0/1,-
2012,35/21,9/5,16/9,9/5,1/2,-
2011,31/18,20/8,10/7,1/3,-,-
2010,7/7,0/1,7/6,-,-,-
2009,7/5,1/2,6/3,-,-,-
