Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,514/349,342/151,118/140,22/26,23/26,9/6
2024,23/15,20/10,-,2/4,1/1,-
2023,28/15,28/14,-,-,0/1,-
2022,3/5,3/5,-,-,-,-
2021,16/24,8/6,6/11,2/4,0/3,-
2020,11/10,5/6,6/4,-,-,-
2019,34/26,12/4,11/16,4/3,7/3,-
2018,24/22,12/8,9/11,2/0,1/3,-
2017,46/12,40/9,1/2,-,5/1,-
2016,20/24,15/11,3/10,-,2/3,-
2015,36/29,10/9,20/15,1/2,3/2,2/1
2014,17/20,8/7,7/9,1/2,1/2,-
2013,31/15,18/5,10/8,2/1,1/1,-
2012,20/26,10/6,10/15,0/1,0/2,0/2
2011,34/27,18/9,12/13,0/2,1/2,3/1
2010,36/28,18/10,10/12,5/3,0/1,3/2
2009,49/18,42/9,3/6,3/2,1/1,-
2008,38/16,37/12,0/2,0/2,-,1/0
2007,26/8,18/3,8/5,-,-,-
2006,22/9,20/8,2/1,-,-,-
