Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,96/87,19/18,74/62,-,3/7,-
2024,15/11,1/2,14/8,-,0/1,-
2023,29/26,14/12,12/10,-,3/4,-
2022,25/19,2/2,23/17,-,-,-
2021,4/11,-,4/11,-,-,-
2020,12/6,-,12/6,-,-,-
2019,2/3,-,2/3,-,-,-
2018,5/6,-,5/4,-,0/2,-
2017,2/3,2/2,0/1,-,-,-
2016,2/2,-,2/2,-,-,-
