Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,29/22,15/13,4/2,-,-,10/7
2024,10/6,10/5,0/1,-,-,-
2023,10/9,4/6,4/1,-,-,2/2
2022,9/7,1/2,-,-,-,8/5
