Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,469/320,343/245,52/34,73/38,1/3,-
2024,23/17,15/11,7/4,1/2,-,-
2023,28/21,14/12,8/6,6/3,-,-
2022,5/21,4/16,0/2,0/1,1/2,-
2021,35/24,22/16,7/3,6/5,-,-
2020,28/7,20/5,-,8/2,-,-
2019,40/23,28/17,3/2,9/4,-,-
2018,34/27,27/25,2/2,5/0,-,-
2017,37/14,24/12,-,13/2,-,-
2016,16/6,8/3,-,8/3,-,-
2015,4/2,4/2,-,-,-,-
2014,4/9,3/6,-,1/3,-,-
2013,22/17,14/10,0/2,8/5,-,-
2012,16/8,11/8,-,5/0,-,-
2011,31/21,31/18,-,0/3,-,-
2010,16/13,13/8,-,3/5,-,-
2009,40/27,34/25,6/2,-,-,-
2008,17/14,17/13,0/1,-,-,-
2007,43/23,34/20,9/2,-,0/1,-
2006,10/9,7/7,3/2,-,-,-
2005,12/11,9/8,3/3,-,-,-
2004,8/6,4/3,4/3,-,-,-
