Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Wassermann D.,2,,,,,,"['5', '3']","['1', '2', '3', '2']",[],[],[],1.87
27.08.,Donders D.,0,,,,,,[],"['2', '0']",[],[],[],1.83
13.07.,Bondioli F.,2,,,,,,5,1,69%,73% (35/48),68% (15/22),83% (5/6),29% (11/38),61% (27/44),63% (5/8),71% (50/70),46% (38/82),58% (88/152),8,0,92% (11/12),42% (5/12),67% (16/24),"['2', '0', '6', '2']",[],"['2', '0', '4', '0', '6', '0']",[],[],1.19
13.07.,Donders D.,1,,,,,,5,12,46%,71% (27/38),39% (17/44),38% (3/8),27% (13/48),32% (7/22),17% (1/6),54% (44/82),29% (20/70),42% (64/152),2,0,58% (7/12),8% (1/12),33% (8/24),[],"['4', '3']",[],[],[],4.32
09.07.,Gakhov I.,2,,,,,,"['2', '1', '5', '2']","['1', '0', '6', '5']",[],[],[],1.14
09.07.,Donders D.,0,,,,,,[],"['5', '5']",[],[],[],5.00
28.06.,Overbeck C. E.,2,,,,,,[],"['3', '1', '5', '1']","['2', '3', '5', '4']",[],[],1.33
28.06.,Donders D.,1,,,,,,"['2', '0', '4', '0']",[],"['3', '1']",[],[],3.09
27.06.,Donders D.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['3', '3', '5', '5']",[],[],[],1.62
27.06.,Lipp M.,0,,,,,,[],"['2', '1', '4', '3']",[],[],[],2.18
25.06.,Donders D.,2,,,,,,"['2', '1', '6', '3']","['2', '0', '5', '1']",[],[],[],1.42
25.06.,Verbeek D.,0,,,,,,[],[],[],[],[],2.69
30.10.2024,Donders D.,0,,,,,,[],[],[],[],[],1.09
30.10.2024,Tsirikidze V.,0,,,,,,"['2', '1', '4', '1']",[],[],[],[],6.28
23.10.2024,Rodriguez J. A.,2,,,,,,"['6', '4']","['2', '2', '4', '2']",[],[],[],1.37
23.10.2024,Donders D.,0,,,,,,[],"['1', '0']",[],[],[],2.89
02.10.2024,Nagel A.,2,,,,,,"['2', '0']","['2', '1']","['2', '1', '4', '1']",[],[],1.69
02.10.2024,Donders D.,1,,,,,,[],"['2', '2', '7', '5']","['2', '4']",[],[],2.08
25.09.2024,Cerny M.,2,,,,,,"['4', '2']","['2', '3', '5', '4']",[],[],[],1.45
25.09.2024,Donders D.,0,,,,,,[],"['2', '0']",[],[],[],2.59
03.09.2024,Donders D.,2,,,,,,"['2', '0']","['1', '0', '5', '2']",[],[],[],1.86
03.09.2024,Paardekooper S.,0,,,,,,[],[],[],[],[],1.86
17.04.2024,Perfetti N.,2,,,,,,"['2', '5']","['3', '1', '4', '2', '6', '2']","['2', '0', '5', '1', '6', '2']",[],[],1.71
17.04.2024,Donders D.,1,,,,,,"['2', '0', '4', '0']","['2', '3']","['2', '5']",[],[],2.03
16.04.2024,Donders D.,2,,,,,,"['2', '0', '4', '2']","['1', '0', '4', '3', '6', '3']",[],[],[],3.18
16.04.2024,Potenza L.,0,,,,,,"['1', '2']","['2', '2']",[],[],[],1.32
09.04.2024,Michalski D.,2,,,,,,"['2', '0', '6', '2']","['3', '1']",[],[],[],1.19
09.04.2024,Donders D.,0,,,,,,[],[],[],[],[],4.37
13.12.2023,Braynin A.,2,,,,,,[],[],[],[],[],1.59
13.12.2023,Donders D.,0,,,,,,[],[],[],[],[],2.25
07.12.2023,Oetzbach A.,2,,,,,,[],[],[],[],[],1.51
07.12.2023,Donders D.,0,,,,,,[],[],[],[],[],2.43
06.12.2023,Donders D.,2,,,,,,[],[],[],[],[],3.83
06.12.2023,Jong A. M.,0,,,,,,[],[],[],[],[],1.23
26.09.2023,Michalski D.,2,,,,,,"['1', '0', '5', '2', '6', '3']","['3', '1']",[],[],[],1.08
26.09.2023,Donders D.,0,,,,,,"['3', '5']",[],[],[],[],6.70
20.09.2023,La Vela G.,2,,,,,,"['3', '1', '5', '1']","['2', '1', '4', '3']",[],[],[],1.44
20.09.2023,Donders D.,0,,,,,,"['2', '5']","['2', '2']",[],[],[],2.63
19.09.2023,Donders D.,2,,,,,,"['1', '0', '3', '0']","['2', '1']","['1', '0', '3', '0']",[],[],1.73
19.09.2023,Di Natale G. M.,1,,,,,,[],"['4', '4', '7', '5']","['3', '5']",[],[],2.00
