Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,112/98,68/63,42/31,2/4,-,-
2024,18/13,11/8,6/3,1/2,-,-
2023,29/26,21/17,8/9,-,-,-
2022,33/22,18/12,14/9,1/1,-,-
2021,20/19,9/14,11/4,0/1,-,-
2020,3/4,3/4,-,-,-,-
2019,4/7,3/4,1/3,-,-,-
2018,3/5,1/3,2/2,-,-,-
2017,2/2,2/1,0/1,-,-,-
