Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,43/46,6/6,14/22,1/2,-,22/16
2024,2/5,1/2,1/3,-,-,-
2023,15/17,5/4,2/2,1/1,-,7/10
2022,15/7,-,-,0/1,-,15/6
2021,11/17,-,11/17,-,-,-
