Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,42/33,13/10,15/9,4/5,-,10/9
2024,20/12,13/9,0/1,2/1,-,5/1
2023,10/7,-,7/3,-,-,3/4
2022,3/5,-,1/1,-,-,2/4
2021,7/4,-,7/3,0/1,-,-
2019,0/2,0/1,-,0/1,-,-
2018,2/2,-,0/1,2/1,-,-
2013,0/1,-,-,0/1,-,-
