Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Beijing (China),hard,header
27.09. 08:40,Bu Y.,2,6^3,6,6,,,8,2,54%,69% (31/45),59% (23/39),33% (2/6),40% (27/67),51% (20/39),39% (7/18),23,37,78% (7/9),8,64% (54/84),44% (47/106),53% (101/190),6,73% (11/15),47% (7/15),60% (18/30),"['5', '5']","['1', '0', '2', '1', '5', '2']","['1', '0', '3', '0', '5', '4']",[],[],3.53
27.09. 08:40,Shang J.,1,7^7,2,4,,,5,4,63%,60% (40/67),49% (19/39),61% (11/18),31% (14/45),41% (16/39),67% (4/6),37,58,54% (7/13),7,56% (59/106),36% (30/84),47% (89/190),3,53% (8/15),27% (4/15),40% (12/30),"['4', '3']","['1', '1']","['1', '3', '4', '4']",[],[],1.31
ATP - SINGLES :  Hangzhou (China),hard,header
23.09. 17:15,Bu Y.,0,6^3,4,,,,8,1,56%,74% (25/34),70% (19/27),50% (1/2),25% (15/59),37% (7/19),0% (0/4),16,28,75% (3/4),6,72% (44/61),28% (22/78),47% (66/139),1,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],2.40
23.09. 17:15,Zhang Z.,2,7^7,6,,,,10,0,76%,75% (44/59),63% (12/19),100% (4/4),26% (9/34),30% (8/27),50% (1/2),23,33,100% (3/3),5,72% (56/78),28% (17/61),53% (73/139),3,100% (11/11),9% (1/11),55% (12/22),[],"['4', '3']",[],[],[],1.59
22.09. 16:10,Bu Y.,2,6,6,,,,8,1,56%,79% (23/29),57% (13/23),75% (3/4),42% (14/33),59% (10/17),57% (4/7),17,10,60% (6/10),9,69% (36/52),48% (24/50),59% (60/102),3,89% (8/9),44% (4/9),67% (12/18),"['4', '2', '6', '4']","['3', '1', '6', '2']",[],[],[],1.55
22.09. 16:10,Kukushkin M.,0,4,2,,,,1,2,66%,58% (19/33),41% (7/17),43% (3/7),21% (6/29),43% (10/23),25% (1/4),10,15,0% (0/3),7,52% (26/50),31% (16/52),41% (42/102),2,56% (5/9),11% (1/9),33% (6/18),"['3', '4']",[],[],[],[],2.47
20.09. 17:15,Bu Y.,2,7^9,4,6,,,13,2,64%,81% (47/58),52% (17/33),25% (1/4),23% (14/61),52% (16/31),60% (3/5),34,33,100% (8/8),5,70% (64/91),33% (30/92),51% (94/183),3,81% (13/16),20% (3/15),52% (16/31),"['2', '3']","['2', '2']","['2', '0']",[],[],2.78
20.09. 17:15,Khachanov K.,1,6^7,6,3,,,18,2,66%,77% (47/61),48% (15/31),40% (2/5),19% (11/58),48% (16/33),75% (3/4),35,38,67% (8/12),7,67% (62/92),30% (27/91),49% (89/183),2,80% (12/15),19% (3/16),48% (15/31),"['3', '1']","['1', '0', '3', '2']",[],[],[],1.46
19.09. 11:10,Bu Y.,2,7,6,,,,9,1,63%,82% (31/38),64% (14/22),67% (2/3),34% (12/35),48% (15/31),38% (3/8),23,28,71% (10/14),6,75% (45/60),41% (27/66),57% (72/126),3,91% (10/11),30% (3/10),62% (13/21),"['3', '1', '7', '5']","['4', '2']",[],[],[],1.46
19.09. 11:10,Gaston H.,0,5,3,,,,4,1,53%,66% (23/35),52% (16/31),63% (5/8),18% (7/38),36% (8/22),33% (1/3),18,26,57% (4/7),4,59% (39/66),25% (15/60),43% (54/126),2,70% (7/10),9% (1/11),38% (8/21),"['2', '3']",[],[],[],[],2.78
ATP - SINGLES :  Davis Cup - World Group II (World),-,header
14.09. 16:40,Bu Y.,2,6,7^7,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '2', '4', '2']",[],[],[],[],0
14.09. 16:40,Boitan G. A.,0,3,6^3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0']",[],[],[],[],0
13.09. 15:50,Bu Y.,1,6,4,6^4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['4', '3', '6', '3']",[],"['1', '1', '2', '2', '5', '5']",[],[],1.14
13.09. 15:50,Cretu C.,2,3,6,7^7,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['4', '3']","['1', '0', '2', '1', '3', '2']",[],[],5.27
CHALLENGER MEN - SINGLES :  Shanghai (China),hard,header
CHALLENGER MEN - SINGLES :  Shanghai (China),hard,header
03.09. 17:25,Bu Y.,1,3,6,3,,,6,1,58%,73% (36/49),50% (18/36),80% (8/10),17% (10/59),55% (12/22),50% (1/2),5,64% (54/85),27% (22/81),46% (76/166),3,85% (11/13),7% (1/14),44% (12/27),[],"['3', '1']",[],[],[],1.19
03.09. 17:25,Polmans M.,2,6,3,6,,,11,3,73%,83% (49/59),45% (10/22),50% (1/2),27% (13/49),50% (18/36),20% (2/10),7,73% (59/81),36% (31/85),54% (90/166),3,93% (13/14),15% (2/13),56% (15/27),"['4', '2']",[],"['2', '0']",[],[],4.50
ATP - SINGLES :  US Open (USA),hard,header
26.08. 22:15,Bu Y.,0,6^2,2,2,,,11,2,50%,67% (31/46),33% (15/46),33% (3/9),12% (5/42),43% (16/37),67% (2/3),27,26,36% (5/14),5,50% (46/92),27% (21/79),39% (67/171),2,57% (8/14),14% (2/14),36% (10/28),"['1', '0']",[],"['1', '1']",[],[],4.01
26.08. 22:15,Ruud C.,3,7^7,6,6,,,14,6,53%,88% (37/42),57% (21/37),33% (1/3),33% (15/46),67% (31/46),67% (6/9),45,26,71% (15/21),12,73% (58/79),50% (46/92),61% (104/171),3,86% (12/14),43% (6/14),64% (18/28),"['2', '2']","['1', '0', '4', '1']","['1', '0', '2', '1', '5', '2']",[],[],1.26
ATP - SINGLES :  US Open (USA) - Qualification,hard,header
22.08. 22:35,Bu Y.,2,1,6,6,,,3,2,52%,72% (26/36),52% (17/33),0% (0/3),27% (15/55),59% (20/34),19% (3/16),11,22,67% (4/6),8,62% (43/69),39% (35/89),49% (78/158),4,77% (10/13),23% (3/13),50% (13/26),[],"['3', '1']","['2', '3', '4', '3']",[],[],2.42
22.08. 22:35,Karatsev A.,1,6,3,4,,,7,6,62%,73% (40/55),41% (14/34),81% (13/16),28% (10/36),48% (16/33),100% (3/3),30,50,61% (11/18),7,61% (54/89),38% (26/69),51% (80/158),5,77% (10/13),23% (3/13),50% (13/26),"['2', '0', '4', '0']",[],"['3', '1']",[],[],1.57
22.08. 02:45,Bu Y.,2,6,6,,,,8,1,59%,77% (33/43),53% (16/30),100% (7/7),21% (6/28),50% (14/28),67% (2/3),16,9,100% (3/3),7,67% (49/73),36% (20/56),53% (69/129),3,100% (10/10),20% (2/10),60% (12/20),"['1', '0']","['2', '1']",[],[],[],1.57
22.08. 02:45,Gojo B.,0,4,4,,,,13,3,50%,79% (22/28),50% (14/28),33% (1/3),23% (10/43),47% (14/30),0% (0/7),29,36,50% (4/8),5,64% (36/56),33% (24/73),47% (60/129),1,80% (8/10),0% (0/10),40% (8/20),[],[],[],[],[],2.42
20.08. 22:25,Bu Y.,2,6,7^7,,,,8,2,53%,79% (27/34),60% (18/30),75% (3/4),36% (14/39),39% (12/31),50% (3/6),19,19,67% (8/12),7,70% (45/64),37% (26/70),53% (71/134),3,90% (9/10),30% (3/10),60% (12/20),"['2', '1', '5', '2']","['2', '1']",[],[],[],1.24
20.08. 22:25,Uchiyama Y.,0,2,6^4,,,,4,2,56%,64% (25/39),61% (19/31),50% (3/6),21% (7/34),40% (12/30),25% (1/4),25,30,47% (8/17),6,63% (44/70),30% (19/64),47% (63/134),3,70% (7/10),10% (1/10),40% (8/20),[],"['3', '3']",[],[],[],4.06
CHALLENGER MEN - SINGLES :  Lincoln (USA),hard,header
11.08. 00:25,Bu Y.,1,6,0,6^3,,,4,2,62%,66% (35/53),41% (13/32),55% (6/11),33% (13/40),60% (15/25),100% (5/5),12,56% (48/85),43% (28/65),51% (76/150),6,58% (7/12),42% (5/12),50% (12/24),"['1', '0', '3', '0', '5', '0']",[],"['3', '2', '6', '5']",[],[],1.95
11.08. 00:25,Fearnley J.,2,0,6,7^7,,,3,7,62%,68% (27/40),40% (10/25),0% (0/5),34% (18/53),59% (19/32),45% (5/11),8,57% (37/65),44% (37/85),49% (74/150),7,58% (7/12),42% (5/12),50% (12/24),[],"['2', '0', '4', '0', '6', '0']","['3', '3', '6', '6']",[],[],1.79
09.08. 22:40,Bu Y.,2,7^7,6,,,,3,2,51%,68% (26/38),59% (22/37),75% (6/8),39% (16/41),61% (19/31),33% (4/12),9,64% (48/75),49% (35/72),56% (83/147),6,80% (8/10),40% (4/10),60% (12/20),"['2', '1']","['2', '0', '4', '0', '6', '2']",[],[],[],1.37
09.08. 22:40,Schoolkate T.,0,6^3,2,,,,10,4,57%,61% (25/41),39% (12/31),67% (8/12),32% (12/38),41% (15/37),25% (2/8),4,51% (37/72),36% (27/75),44% (64/147),3,60% (6/10),20% (2/10),40% (8/20),"['5', '5']","['1', '4']",[],[],[],2.97
