Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/19,7/7,-,9/12,-,-
2024,12/11,5/4,-,7/7,-,-
2023,1/2,1/1,-,0/1,-,-
2022,3/6,1/2,-,2/4,-,-
