Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,34/26,4/4,10/16,-,-,20/6
2024,8/8,4/3,4/5,-,-,-
2023,15/6,0/1,-,-,-,15/5
2022,7/3,-,2/2,-,-,5/1
2021,4/9,-,4/9,-,-,-
