Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,438/371,111/126,183/122,139/118,2/4,3/1
2024,30/21,8/5,15/14,7/2,-,-
2023,20/30,3/11,7/10,10/9,-,-
2022,41/32,16/11,6/6,16/14,-,3/1
2021,26/27,3/8,12/5,11/14,-,-
2020,23/52,13/33,6/9,4/10,-,-
2019,26/32,4/7,12/9,8/12,2/4,-
2018,34/21,2/5,27/9,5/7,-,-
2017,61/26,15/7,13/7,33/12,-,-
2016,46/28,15/9,16/7,15/12,-,-
2015,40/24,5/5,23/12,12/7,-,-
2014,30/25,7/8,17/12,6/5,-,-
2013,39/32,12/8,26/19,1/5,-,-
2012,16/14,7/5,3/3,6/6,-,-
2011,5/5,0/2,-,5/3,-,-
2010,1/2,1/2,-,-,-,-
