Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,418/235,71/48,157/95,167/71,23/21,-
2024,14/10,-,14/7,-,0/3,-
2023,7/6,-,5/3,2/3,-,-
2022,38/25,0/2,23/13,15/8,0/2,-
2021,22/18,1/4,6/5,10/7,5/2,-
2020,5/8,0/1,3/5,2/2,-,-
2019,50/18,1/4,15/6,34/6,0/2,-
2018,30/19,3/2,8/7,13/7,6/3,-
2017,29/12,-,18/8,11/4,-,-
2016,11/8,2/2,1/3,8/3,-,-
2015,13/14,3/3,2/7,3/2,5/2,-
2014,52/17,20/5,20/6,12/5,0/1,-
2013,5/0,-,-,5/0,-,-
2012,2/3,-,1/1,-,1/2,-
2011,29/15,3/4,16/6,7/4,3/1,-
2010,25/21,10/4,8/8,5/7,2/2,-
2009,27/16,6/5,5/5,15/5,1/1,-
2008,31/14,15/8,5/1,11/5,-,-
2007,28/11,7/4,7/4,14/3,-,-
