Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES :  Davis Cup - World Group II (World),-,header
14.09. 19:20,Mansouri S.,2,6,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '0']","['1', '0', '4', '1', '6', '1']",[],[],[],1.15
14.09. 19:20,Gannon C.,0,3,1,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],[],[],[],[],5.16
13.09. 15:50,Mansouri S.,0,6^5,3,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['2', '4', '4', '4']","['2', '5']",[],[],[],2.53
13.09. 15:50,Agwi M.,2,7^7,6,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '4', '1']","['2', '0', '4', '0']",[],[],[],1.49
ATP - SINGLES :  Winston-Salem (USA) - Qualification,hard,header
02.04. 22:45,Mansouri S.,2,4,6,7,,,19,5,66%,75% (47/63),52% (17/33),60% (3/5),23% (14/61),50% (16/32),33% (3/9),8,66% (63/95),32% (29/92),49% (92/187),5,88% (14/16),19% (3/16),53% (17/32),[],"['4', '3']","['4', '5', '6', '5']",[],[],1.53
02.04. 22:45,Hernandez A.,1,6,4,5,,,0,6,66%,77% (47/61),50% (16/32),67% (6/9),25% (16/63),48% (16/33),40% (2/5),9,68% (63/92),34% (32/95),51% (95/187),3,81% (13/16),13% (2/16),47% (15/32),"['6', '4']",[],"['3', '1']",[],[],2.43
CHALLENGER MEN - SINGLES :  Mexico City (Mexico) - Qualification,clay,header
02.04. 01:05,Mansouri S.,2,7^7,3,6,,,15,10,56%,79% (49/62),53% (26/49),80% (8/10),25% (14/56),45% (17/38),33% (2/6),8,68% (75/111),33% (31/94),52% (106/205),3,87% (13/15),13% (2/15),50% (15/30),"['2', '0']",[],"['5', '3']",[],[],1.66
02.04. 01:05,Chappell N.,1,6^5,6,3,,,3,4,60%,75% (42/56),55% (21/38),67% (4/6),21% (13/62),47% (23/49),20% (2/10),4,67% (63/94),32% (36/111),48% (99/205),3,87% (13/15),13% (2/15),50% (15/30),"['3', '4']","['2', '0']",[],[],[],2.16
01.04. 01:30,Mansouri S.,2,6,6,,,,5,3,43%,89% (17/19),64% (16/25),0% (0/0),55% (18/33),45% (10/22),40% (4/10),5,75% (33/44),51% (28/55),62% (61/99),9,100% (8/8),57% (4/7),80% (12/15),"['4', '2', '6', '2']","['2', '0', '4', '0']",[],[],[],1.02
01.04. 01:30,Delgadillo G.,0,2,1,,,,0,7,60%,45% (15/33),55% (12/22),60% (6/10),11% (2/19),36% (9/25),0% (0/0),4,49% (27/55),25% (11/44),38% (38/99),1,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],12.60
CHALLENGER MEN - SINGLES :  Ottignies-Louvain-la-Neuve (Belgium) - Qualification,hard,header
22.01. 14:40,Mansouri S.,0,3,3,,,,12,3,66%,63% (24/38),25% (5/20),55% (6/11),38% (17/45),50% (11/22),50% (2/4),6,50% (29/58),42% (27/65),46% (56/123),3,44% (4/9),22% (2/9),33% (6/18),"['2', '0']","['1', '2']",[],[],[],3.66
22.01. 14:40,Andreev A.,2,6,6,,,,0,1,67%,62% (28/45),50% (11/22),50% (2/4),37% (14/38),75% (15/20),45% (5/11),6,58% (38/65),50% (29/58),54% (67/123),8,78% (7/9),56% (5/9),67% (12/18),"['2', '3', '4', '3', '6', '3']","['2', '0', '3', '1']",[],[],[],1.26
