Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,38/31,25/27,-,2/3,-,11/1
2024,10/3,4/3,-,-,-,6/0
2022,5/1,-,-,-,-,5/1
2021,11/9,10/8,-,1/1,-,-
2020,3/4,3/4,-,-,-,-
2019,2/5,1/4,-,1/1,-,-
2018,1/4,1/3,-,0/1,-,-
2017,3/1,3/1,-,-,-,-
2016,3/4,3/4,-,-,-,-
