Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,398/290,15/18,301/213,45/37,37/22,-
2024,30/17,4/4,26/13,-,-,-
2023,20/21,-,15/19,2/1,3/1,-
2022,8/8,3/2,5/6,-,-,-
2021,16/18,3/3,12/13,1/2,-,-
2020,16/2,-,16/2,-,-,-
2019,21/21,1/1,20/18,0/2,-,-
2018,21/22,0/1,21/21,-,-,-
2017,17/20,0/1,17/18,0/1,-,-
2016,35/20,1/1,25/15,3/1,6/3,-
2015,31/19,-,28/15,2/2,1/2,-
2014,16/13,-,15/8,0/2,1/3,-
2013,28/16,-,19/12,2/1,7/3,-
2012,19/17,0/1,10/10,5/4,4/2,-
2011,19/21,0/2,12/11,2/5,5/3,-
2010,32/18,-,19/11,7/5,6/2,-
2009,30/19,0/1,22/12,6/5,2/1,-
2008,28/12,3/1,10/5,15/6,-,-
2007,7/4,-,5/2,-,2/2,-
2006,4/2,-,4/2,-,-,-
